"Business Name","Category","Area","Address","Phone Number","Website","Google Rating","Review Count","Google Maps URL","Email","Email Source","Lead Score"
"ATX Family Dental","Dental clinic","Austin","1700 S 1st St, Austin, TX 78704","	5127173147","https://www.atxfamilydental.com/","4.9","848","https://www.google.com/maps/search/?api=1&query=ATX%20Family%20Dental&query_place_id=ChIJb5gBC-u0RIYRHkntaUcdJGs","info@atxfamilydental.com","website scrape","100"
"Emergency Dentist of Austin","Dentist","Austin","1030 Norwood Park Blvd #324, Austin, TX 78753","	5129616200","https://emergencydentistofaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing","4.8","1426","https://www.google.com/maps/search/?api=1&query=Emergency%20Dentist%20of%20Austin&query_place_id=ChIJpXb4FgrJRIYRyRpdhSsCHHk","info@emergencydentistofaustin.com","website scrape","100"
"Austin Emergency Dental","Dental clinic","2500 W William Cannon Dr Ste #103 (Building #1","Austin Emergency Dental, 2500 W William Cannon Dr Ste #103 (Building #1, Austin, TX 78745","	7377474646","https://emergencydentalaustin.com/","4.9","725","https://www.google.com/maps/search/?api=1&query=Austin%20Emergency%20Dental&query_place_id=ChIJV_V-o8WzRIYRyWFVrpwODY4","admin@emergencydentalaustin.com","website scrape","100"
"Austin City Dental","Dental clinic","Austin","1500 W 38th St #37, Austin, TX 78731","	5124518256","http://www.austincitydental.com/","5.0","654","https://www.google.com/maps/search/?api=1&query=Austin%20City%20Dental&query_place_id=ChIJBy72toXKRIYRhRa4pGMKusA","info@austincitydental.com","website scrape","100"
"Austin Dental Works","Dental clinic","Austin","4601 N Lamar Blvd #503, Austin, TX 78751","	5128779822","https://www.austindentalworks.com/","4.9","623","https://www.google.com/maps/search/?api=1&query=Austin%20Dental%20Works&query_place_id=ChIJZUcojGPKRIYRzcMs0RVjV3Y","info@austindentalworks.com","website scrape","100"
"Lucent Dentistry","Dental clinic","Austin","3909 N Interstate Hwy 35 Ste. A1, Austin, TX 78722","	5124585600","http://lucentdentistryaustin.com/","4.9","526","https://www.google.com/maps/search/?api=1&query=Lucent%20Dentistry&query_place_id=ChIJoYODenu1RIYRzNRndv0ubW4","info@lucentdentistryaustin.com","website scrape","100"
"Barton Oaks Dental Group","Dental clinic","Suite #470","901 S MoPac Expy Building 1, Suite #470, Austin, TX 78746","	5123276947","https://www.bartonoaksdentalgroup.com/","4.9","712","https://www.google.com/maps/search/?api=1&query=Barton%20Oaks%20Dental%20Group&query_place_id=ChIJoboTyjO1RIYRqIoFak5yKww","info@bartonoaksdentalgroup.com","website scrape","100"
"Walden Dental","Dentist","Austin","9800 N Lake Creek Pkwy #150, Austin, TX 78717","	5123378560","https://www.waldendentaltx.com/","4.9","1474","https://www.google.com/maps/search/?api=1&query=Walden%20Dental&query_place_id=ChIJTwKmyK4yW4YRERM8wdgfieI","info@waldendentaltx.com","website scrape","100"
"The Tooth Inc","Dental clinic","Austin","1700 E Oltorf St #100, Austin, TX 78741","	5125931874","https://www.toothinctx.com/","5.0","574","https://www.google.com/maps/search/?api=1&query=The%20Tooth%20Inc&query_place_id=ChIJdfJbg6S1RIYRbNBpAQTgf-c","toothinctx@gmail.com","website scrape","100"
"Toothbar","Dentist","Austin","211 Walter Seaholm Dr LR 160, Austin, TX 78701","	5126074268","https://www.toothbar.com/","4.8","721","https://www.google.com/maps/search/?api=1&query=Toothbar&query_place_id=ChIJO0xN0RG1RIYRIDFDZYJkYjA","info@toothbar.com","website scrape","100"
"Choice Austin Dental","Dental clinic","Austin","11645 Angus Rd, Austin, TX 78759","	5123455552","http://www.austindental.com/","5.0","424","https://www.google.com/maps/search/?api=1&query=Choice%20Austin%20Dental&query_place_id=ChIJjaEoEfXMRIYRKQ0BcKXt9xY","appt@austindental.com","website scrape","99"
